Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
2089,7.0,0.1237,"wildlife, incredible, morning, spot, conservation, real, full, rhino, location, simply","Incredible experience, dont miss this!"
2090,0.0,0.1111,"close, work, giraffe, kid, stunning, city, family, water, personal, creature",amazing organization
2091,0.0,0.1111,"close, work, giraffe, kid, stunning, city, family, water, personal, creature",Good place to visit
2092,3.0,0.1242,"experience, view, feed, hour, spend, learn, large, crowd, sight, effort",Always touching
2093,0.0,0.1111,"close, work, giraffe, kid, stunning, city, family, water, personal, creature","Fantastic, great attraction!"
2094,5.0,0.1285,"elephant, baby, orphan, people, crowd, young, touch, adopt, worthwhile, orphaned","If you love elephants, this is a must!"
2095,0.0,0.1111,"close, work, giraffe, kid, stunning, city, family, water, personal, creature",AWESOME PLACE
2096,0.0,0.1453,"close, work, giraffe, kid, stunning, city, family, water, personal, creature",Great for those who have never seen Giraffes up close!
2097,0.0,0.1453,"close, work, giraffe, kid, stunning, city, family, water, personal, creature",Fun and up close with a Giraffe
2098,0.0,0.1111,"close, work, giraffe, kid, stunning, city, family, water, personal, creature",lovely place to see giraffes
2099,0.0,0.1285,"close, work, giraffe, kid, stunning, city, family, water, personal, creature",One friendly giraffe
2100,0.0,0.1111,"close, work, giraffe, kid, stunning, city, family, water, personal, creature",Great
2101,0.0,0.1426,"close, work, giraffe, kid, stunning, city, family, water, personal, creature",nice to take kids to feed the giraffe
2102,0.0,0.1285,"close, work, giraffe, kid, stunning, city, family, water, personal, creature",Fun to see the giraffes up close
2103,0.0,0.1111,"close, work, giraffe, kid, stunning, city, family, water, personal, creature",Always good to see it!
2104,0.0,0.1111,"close, work, giraffe, kid, stunning, city, family, water, personal, creature",very good
2105,0.0,0.1111,"close, work, giraffe, kid, stunning, city, family, water, personal, creature",A place on Nairobis top ten
2106,0.0,0.1111,"close, work, giraffe, kid, stunning, city, family, water, personal, creature",Wonderful
2107,0.0,0.1111,"close, work, giraffe, kid, stunning, city, family, water, personal, creature",I love Giraffes
2108,0.0,0.1285,"close, work, giraffe, kid, stunning, city, family, water, personal, creature","Be Sure to ""kiss"" the giraffe"
2109,6.0,0.1261,"worth, time, walk, visit, nature, small, afternoon, natural, interaction, crossing",Cheating on your spouse with a giraffe ;-)
2110,1.0,0.1261,"animal, wild, life, early, magical, scenery, memorable, drive, forest, stay",Great for people whove never seen a forest...
2111,0.0,0.1111,"close, work, giraffe, kid, stunning, city, family, water, personal, creature",Favorite Place in Nairobi!
2112,4.0,0.1509,"city, beach, view, lot, game, tour, educational, watch, bird, absolutely",nice and quiet in the busy city
2113,5.0,0.1285,"elephant, baby, orphan, people, crowd, young, touch, adopt, worthwhile, orphaned","If you love elephants, you gotta go. "
