Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
717,2.0,0.1473,"guide, site, historical, historic, people, astonish, make_sure, location, holy, culture",Great historical site but pretty pricey
718,7.0,0.1587,"incredible, world, time, walk, modern, spectacular, place, main, short, inside",One of the most incredible sights ever
719,0.0,0.125,"worth, small, top, important, drive, stone, absolutely, colorful, spectacular, image",The churches in Ethiopia in general are not that impressive
720,5.0,0.1422,"tour, site, view, religious, cave, painting, famous, monastery, town, expect",Great tour
721,0.0,0.1368,"worth, small, top, important, drive, stone, absolutely, colorful, spectacular, image",Well worth the ticket price
722,0.0,0.125,"worth, small, top, important, drive, stone, absolutely, colorful, spectacular, image",Very special
723,1.0,0.1378,"stunning, architecture, unique, building, miss, preserve, monument, ride, wall, overprice",Stunning !
724,2.0,0.1368,"guide, site, historical, historic, people, astonish, make_sure, location, holy, culture",Fabulous Location ... with Vast Ethiopia Tours
725,5.0,0.1394,"tour, site, view, religious, cave, painting, famous, monastery, town, expect",Fascinating - I hope you like to hike and are sure footed
726,1.0,0.1422,"stunning, architecture, unique, building, miss, preserve, monument, ride, wall, overprice",Stunning
727,7.0,0.1587,"incredible, world, time, walk, modern, spectacular, place, main, short, inside",One of the worlds great sights
728,0.0,0.125,"worth, small, top, important, drive, stone, absolutely, colorful, spectacular, image",A wonderful treat
729,7.0,0.1356,"incredible, world, time, walk, modern, spectacular, place, main, short, inside",What a Magnificent Work
730,0.0,0.125,"worth, small, top, important, drive, stone, absolutely, colorful, spectacular, image",Breathtaking
731,1.0,0.1373,"stunning, architecture, unique, building, miss, preserve, monument, ride, wall, overprice",Interesting Christian churches hewn from enormous boulders on the side of a hill
732,0.0,0.1422,"worth, small, top, important, drive, stone, absolutely, colorful, spectacular, image",Worth seeing - really special
733,1.0,0.1368,"stunning, architecture, unique, building, miss, preserve, monument, ride, wall, overprice",Make sure your dont visit at pilgrim time.
734,0.0,0.125,"worth, small, top, important, drive, stone, absolutely, colorful, spectacular, image",Amazing!!
735,0.0,0.1373,"worth, small, top, important, drive, stone, absolutely, colorful, spectacular, image","Absolutely stunning church in Lalibela-A ""must see""!"
736,4.0,0.1422,"trip, magical, city, climb, full, long, ceiling, real, spot, lot","Beautiful City, Reliable Guide"
737,4.0,0.1394,"trip, magical, city, climb, full, long, ceiling, real, spot, lot","Its a real special place, remarkable it still looks and is in use as 800y ago"
738,0.0,0.125,"worth, small, top, important, drive, stone, absolutely, colorful, spectacular, image",A great guide to the Churches of Lalibela
739,0.0,0.125,"worth, small, top, important, drive, stone, absolutely, colorful, spectacular, image",Extraordinary!
740,1.0,0.1394,"stunning, architecture, unique, building, miss, preserve, monument, ride, wall, overprice",Literally stunning!
741,5.0,0.1394,"tour, site, view, religious, cave, painting, famous, monastery, town, expect",Excellent visit at Lalibela by Witness Ethiopia Tours
742,0.0,0.125,"worth, small, top, important, drive, stone, absolutely, colorful, spectacular, image",The most impressive church
743,2.0,0.1422,"guide, site, historical, historic, people, astonish, make_sure, location, holy, culture",Astonishing
744,0.0,0.1394,"worth, small, top, important, drive, stone, absolutely, colorful, spectacular, image",Worth Seeing but Beware of Scams
745,0.0,0.1422,"worth, small, top, important, drive, stone, absolutely, colorful, spectacular, image",Charming Stone-hewn Churches
746,6.0,0.1452,"history, painting, local, simply, cool, stop, cultural, high, destination, extraordinary","Impressive architecture, gentle people. A must see. Go with a trusted guide, or you will miss out on the history."
747,0.0,0.125,"worth, small, top, important, drive, stone, absolutely, colorful, spectacular, image",Amazing
748,6.0,0.1422,"history, painting, local, simply, cool, stop, cultural, high, destination, extraordinary",Very good choice
749,0.0,0.125,"worth, small, top, important, drive, stone, absolutely, colorful, spectacular, image",Awesome
750,0.0,0.125,"worth, small, top, important, drive, stone, absolutely, colorful, spectacular, image",the true wonder of the world
751,1.0,0.1422,"stunning, architecture, unique, building, miss, preserve, monument, ride, wall, overprice",Stunning
752,0.0,0.125,"worth, small, top, important, drive, stone, absolutely, colorful, spectacular, image",So amazing!
753,1.0,0.1422,"stunning, architecture, unique, building, miss, preserve, monument, ride, wall, overprice",Dont miss Bet Giyorgis and try to get a good guide
754,2.0,0.1334,"guide, site, historical, historic, people, astonish, make_sure, location, holy, culture","Beautiful, lovely place with lovely people!"
755,0.0,0.125,"worth, small, top, important, drive, stone, absolutely, colorful, spectacular, image",The BEST guide for the region TEWELDE HAILESELASSIE
756,4.0,0.1422,"trip, magical, city, climb, full, long, ceiling, real, spot, lot","Beautiful church, fun climb"
757,3.0,0.1422,"experience, day, visit, ancient, structure, unforgettable, important, spiritual, part, piece",wonderful experience.
758,4.0,0.1373,"trip, magical, city, climb, full, long, ceiling, real, spot, lot","Stunning Church, with an “expedition” to get there!"
759,0.0,0.125,"worth, small, top, important, drive, stone, absolutely, colorful, spectacular, image",Amazing rock hewn churchs
760,3.0,0.1394,"experience, day, visit, ancient, structure, unforgettable, important, spiritual, part, piece",Incredible experience
761,5.0,0.1394,"tour, site, view, religious, cave, painting, famous, monastery, town, expect","Great tour in the region, one of my favorite"
762,3.0,0.1368,"experience, day, visit, ancient, structure, unforgettable, important, spiritual, part, piece",Incredible day out - will never forget it!
763,3.0,0.1587,"experience, day, visit, ancient, structure, unforgettable, important, spiritual, part, piece",An unforgettable experience
764,0.0,0.125,"worth, small, top, important, drive, stone, absolutely, colorful, spectacular, image",Fantastic
765,0.0,0.125,"worth, small, top, important, drive, stone, absolutely, colorful, spectacular, image",great experience -- great guide -- use Tewelde Selassie
766,0.0,0.125,"worth, small, top, important, drive, stone, absolutely, colorful, spectacular, image",The best place in Ethiopia to visit
767,0.0,0.125,"worth, small, top, important, drive, stone, absolutely, colorful, spectacular, image",Great tour of the Tigray churches
768,3.0,0.1394,"experience, day, visit, ancient, structure, unforgettable, important, spiritual, part, piece",Incredible experience 
769,4.0,0.1368,"trip, magical, city, climb, full, long, ceiling, real, spot, lot","Incredible church, dont miss it if youre fit enough"
770,5.0,0.1356,"tour, site, view, religious, cave, painting, famous, monastery, town, expect",Amazing sites with an amazing guide
771,0.0,0.125,"worth, small, top, important, drive, stone, absolutely, colorful, spectacular, image",Just do it :-)
772,1.0,0.1394,"stunning, architecture, unique, building, miss, preserve, monument, ride, wall, overprice","Fantastic .""if you havent climbed a mountain with a harness before , you still can do it"""
773,0.0,0.14,"worth, small, top, important, drive, stone, absolutely, colorful, spectacular, image",Be aware of a guide called Girmay Tewelde
774,2.0,0.1422,"guide, site, historical, historic, people, astonish, make_sure, location, holy, culture","Great views, not so great guide"
775,3.0,0.1422,"experience, day, visit, ancient, structure, unforgettable, important, spiritual, part, piece",Rock hewn Tigray churches - how much does it cost
776,4.0,0.1422,"trip, magical, city, climb, full, long, ceiling, real, spot, lot",excellent service for both Danakil Deperession and Tigray churches
777,3.0,0.1394,"experience, day, visit, ancient, structure, unforgettable, important, spiritual, part, piece",My favorite experience on my trip!
778,0.0,0.125,"worth, small, top, important, drive, stone, absolutely, colorful, spectacular, image","Great view and trek, but not for everybody"
779,0.0,0.1394,"worth, small, top, important, drive, stone, absolutely, colorful, spectacular, image",Flying visit but well worth it
780,5.0,0.1515,"tour, site, view, religious, cave, painting, famous, monastery, town, expect",Amazing way to spend Christmas with a very thoughtful guide--Yemane
781,6.0,0.1416,"history, painting, local, simply, cool, stop, cultural, high, destination, extraordinary",The Tigray churches are amazing but be ready to negotiate
782,0.0,0.125,"worth, small, top, important, drive, stone, absolutely, colorful, spectacular, image",Great place but don’t use Aregawi as a guide 
783,2.0,0.1343,"guide, site, historical, historic, people, astonish, make_sure, location, holy, culture",Incredible Location!! Beautiful Climb!! Great Views!! Lovely Church!!
784,7.0,0.1422,"incredible, world, time, walk, modern, spectacular, place, main, short, inside",Incredible place!
785,0.0,0.1394,"worth, small, top, important, drive, stone, absolutely, colorful, spectacular, image",Should be on everyones top 5 places to visit in Ethiopia
786,1.0,0.1431,"stunning, architecture, unique, building, miss, preserve, monument, ride, wall, overprice",Highly Recomended Guide
787,4.0,0.1431,"trip, magical, city, climb, full, long, ceiling, real, spot, lot",must see rock church with rock climbing - my 10 and 12 year old daughters loved it!
788,0.0,0.125,"worth, small, top, important, drive, stone, absolutely, colorful, spectacular, image",Best tour guide ever
789,7.0,0.1394,"incredible, world, time, walk, modern, spectacular, place, main, short, inside",Absolutetely incredible
